,./ProjetoGenerico/Algoritmos/UsandoFuncoes.cpp,./ProjetoGenerico/Classes/TEMPLATE.CPP,./ProjetoGenerico/Algoritmos/UsandoVariaveisGlobaisELocais.cpp,./ProjetoGenerico/Header/Header.h,./ProjetoGenerico/Algoritmos/UsandoMatrizesEPonteiros.cpp,./ProjetoGenerico/Outros Arquivos/limits-structnest.cpp,./ProjetoGenerico/Algoritmos/UsandoEstruturasDeControle.cpp,./ProjetoGenerico/Classes/TratamentoDeExcecoes.cpp,./ProjetoGenerico/Outros Arquivos/c11-align-1.cpp,./ProjetoGenerico/Classes/CLASSES1.CPP,./ProjetoGenerico/Algoritmos/Teste.cpp,./ProjetoGenerico/Algoritmos/Diretivas.cpp,./ProjetoGenerico/Classes/EnumsStructsEUnions.cpp,./ProjetoGenerico/Outros Arquivos/limits-declparen.cpp,./ProjetoGenerico/Classes/UsandoClassesEVariaveis.cpp,./ProjetoGenerico/Outros Arquivos/limits-exprparen.cpp,./ProjetoGenerico/Outros Arquivos/limits-ifs.cpp
lim,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
objetoduplo,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
limit,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
cont,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
num,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0
inicio,0,0,0,0,0,0,14,0,0,0,0,1,2,0,0,0,0
while,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
segundo,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
loop,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
read,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
cout,0,0,0,0,0,0,44,1,0,0,0,3,0,0,0,0,0
interno,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0
terceiro,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
locao,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
infinito,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
printf,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
goto,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sqr,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
comando,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
rotulo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
endl,0,0,0,0,0,0,44,0,0,0,0,3,0,0,0,0,0
primeiro,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
control,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,12,0,0,0,0,5,2,0,0,0,0
prompt,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
return,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
erro,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
trata,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
gereado,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tratamento,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gerado,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
exceco,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
throw,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
except,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ll,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dg,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
code,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
align,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
error,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
stddef,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
compil,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
valid,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
useless,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
std,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pedant,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
max,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
i,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
warn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
func,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
quot,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
support,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
option,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
vary,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
varx,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
lt,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
output,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
generico,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
number,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
friend,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
metodo,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0
atributo,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0
method,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0
gener,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
null,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
name,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
interna,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0
pura,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
virtual,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
objeto,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
funcc,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
univers,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
gen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ena,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
jogo,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
publico,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
rica,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
quantidad,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
set,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
heran,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
print,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
obj,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
oper,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
first,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
constant,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
menor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pre,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
processador,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
menssagem,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
definida,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
comentário,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
elif,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
concat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
els,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
er,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pragma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
especiai,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
constantedefin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
esta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
includ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
caracter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
preprocessador,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ro,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ifdef,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
foi,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
soma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
defin,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
macro,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
contem,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
diretiva,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gt,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
instru,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
constantedefinechar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
struct,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
stdio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
pelo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
meio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
enumera,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
typedef,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
campo,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
usuario,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
enuma,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
param,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
comnetario,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nloco,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
definido,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
enumeraco,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dentro,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
inteiro,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ant,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
linha,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
union,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0
enumar,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
enumer,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
declparen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
arc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
exprparen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lbr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
hun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
apo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
foo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
if,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
on,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
